,unique_id,cuisine,district
74,node/4371164290,pizza,"3rd District, Budapest, Hungary"
75,node/4383337789,regional,"3rd District, Budapest, Hungary"
76,node/4389368593,regional;langos,"3rd District, Budapest, Hungary"
77,node/4420906918,regional,"3rd District, Budapest, Hungary"
78,node/4420906921,chinese,"3rd District, Budapest, Hungary"
79,node/4477991305,regional;international,"3rd District, Budapest, Hungary"
80,node/4554457897,regional,"3rd District, Budapest, Hungary"
81,node/4567243315,burger;regional,"3rd District, Budapest, Hungary"
82,node/4796359137,regional,"3rd District, Budapest, Hungary"
83,node/4845149023,burger,"3rd District, Budapest, Hungary"
84,node/4939174115,regional,"3rd District, Budapest, Hungary"
85,node/4939177035,regional,"3rd District, Budapest, Hungary"
86,node/4939177630,italian;pizza,"3rd District, Budapest, Hungary"
87,node/4939177879,regional,"3rd District, Budapest, Hungary"
88,node/4940561332,italian;pizza,"3rd District, Budapest, Hungary"
89,node/4962388348,chicken,"3rd District, Budapest, Hungary"
90,node/4962388349,burger;regional;gyros;pancake,"3rd District, Budapest, Hungary"
91,node/4962388352,regional;pancake,"3rd District, Budapest, Hungary"
92,node/4973502350,,"3rd District, Budapest, Hungary"
93,node/4973502351,,"3rd District, Budapest, Hungary"
94,node/4973502352,,"3rd District, Budapest, Hungary"
95,node/4973502353,,"3rd District, Budapest, Hungary"
96,node/5139128688,regional,"3rd District, Budapest, Hungary"
97,node/5186834899,regional,"3rd District, Budapest, Hungary"
98,node/5367929040,hungarian;fried_food;soup;drinks,"3rd District, Budapest, Hungary"
99,node/5485077948,chinese,"3rd District, Budapest, Hungary"
100,node/5697457023,burger,"3rd District, Budapest, Hungary"
101,node/5697457024,regional,"3rd District, Budapest, Hungary"
102,node/5808427843,regional,"3rd District, Budapest, Hungary"
103,node/5848459845,regional,"3rd District, Budapest, Hungary"
104,node/5859015329,burger,"3rd District, Budapest, Hungary"
105,node/5862309241,pizza,"3rd District, Budapest, Hungary"
106,node/5998394685,ice_cream;italian;pizza,"3rd District, Budapest, Hungary"
107,node/6152372173,regional;pizza,"3rd District, Budapest, Hungary"
108,node/6185591788,kebab,"3rd District, Budapest, Hungary"
109,node/6254820428,regional,"3rd District, Budapest, Hungary"
110,node/6297546277,regional;hungarian,"3rd District, Budapest, Hungary"
111,node/6298239286,regional,"3rd District, Budapest, Hungary"
112,node/6298267237,indian,"3rd District, Budapest, Hungary"
113,node/6298503262,regional,"3rd District, Budapest, Hungary"
114,node/6298813619,burger,"3rd District, Budapest, Hungary"
115,node/6299128658,greek;kebab,"3rd District, Budapest, Hungary"
116,node/6299648446,burger,"3rd District, Budapest, Hungary"
117,node/6299728929,kebab;pizza;turkish,"3rd District, Budapest, Hungary"
118,node/6300078956,fish,"3rd District, Budapest, Hungary"
119,node/6301398824,,"3rd District, Budapest, Hungary"
